Date.and.Time..UTC.,Receiver,Transmitter,Transmitter.Name,Transmitter.Serial,Sensor.Value,Sensor Unit,Station.Name,Latitude,Longitude
2011-01-31 11:24:48,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 12:02:14,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:11:10,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:12:10,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:13:22,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:17:12,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:18:22,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:19:25,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:27:29,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:28:40,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:29:45,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:30:35,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:31:28,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:34:16,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:35:05,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:35:54,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:36:43,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:38:26,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:40:27,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:42:08,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:43:02,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:44:02,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:45:12,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:46:15,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:48:44,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:49:54,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:52:05,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 12:58:32,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 13:01:14,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 13:08:34,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 13:43:12,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 19:41:20,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 20:25:43,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 20:26:57,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 20:28:06,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 20:30:18,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 20:31:23,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 20:34:11,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 20:35:24,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
